Время (UTC);Инициатор;Событие;Код;Объект;Детали
2026-06-12T00:14:08.392706+00:00;Paul;Удалён участник;member_removed;32b39291-0c0a-4cb7-b79e-fdced0c858af;"{""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
2026-06-12T00:10:51.028750+00:00;Paul;Изменён прогноз;prediction_updated;4912a102-ec52-4ad9-b7f7-a102c09dd410;"{""away"": 0, ""home"": 2, ""match"": ""Canada — Bosnia & Herzegovina"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2"", ""previous"": {""away"": 9, ""home"": 9}}"
2026-06-12T00:09:45.282501+00:00;Paul;Изменён прогноз;prediction_updated;55cc8d6e-b031-464c-9166-ccc388601ad0;"{""away"": 1, ""home"": 0, ""match"": ""South Korea — Czech Republic"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2"", ""previous"": {""away"": 7, ""home"": 7}}"
2026-06-11T21:32:33.325767+00:00;Federico;Изменён прогноз;prediction_updated;55cc8d6e-b031-464c-9166-ccc388601ad0;"{""away"": 1, ""home"": 1, ""match"": ""South Korea — Czech Republic"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2"", ""previous"": {""away"": 0, ""home"": 1}}"
2026-06-11T21:28:59.310683+00:00;Прапор;Сделан прогноз;prediction_set;7b5944fe-c8f5-489d-b269-83436d0a6e5a;"{""away"": 0, ""home"": 3, ""match"": ""Brazil — Morocco"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
2026-06-11T21:28:48.292046+00:00;Прапор;Сделан прогноз;prediction_set;84643f75-2463-4a22-86df-f73d796b529a;"{""away"": 2, ""home"": 0, ""match"": ""Qatar — Switzerland"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
2026-06-11T21:28:48.127471+00:00;Federico;Сделан прогноз;prediction_set;55cc8d6e-b031-464c-9166-ccc388601ad0;"{""away"": 0, ""home"": 1, ""match"": ""South Korea — Czech Republic"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
2026-06-11T21:28:41.192402+00:00;Прапор;Сделан прогноз;prediction_set;d3feaba4-dec6-4658-a1b0-c67242ab07cc;"{""away"": 1, ""home"": 1, ""match"": ""USA — Paraguay"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
2026-06-11T21:28:20.996321+00:00;Прапор;Сделан прогноз;prediction_set;a98de20d-b6d7-462f-ae3d-cabadad0aae2;"{""away"": 0, ""home"": 1, ""match"": ""Ivory Coast — Ecuador"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
2026-06-11T21:28:10.944667+00:00;Прапор;Сделан прогноз;prediction_set;299007b9-a306-4e18-b1fc-f7d067ecb585;"{""away"": 0, ""home"": 2, ""match"": ""Netherlands — Japan"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
2026-06-11T21:28:01.942554+00:00;Прапор;Сделан прогноз;prediction_set;8b2230d3-02a1-45b4-9400-c53d40d7ae15;"{""away"": 0, ""home"": 7, ""match"": ""Germany — Curaçao"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
2026-06-11T21:27:48.318243+00:00;Прапор;Сделан прогноз;prediction_set;0b9d43eb-f830-4f43-aa88-c1aaa48af122;"{""away"": 1, ""home"": 1, ""match"": ""Australia — Türkiye"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
2026-06-11T21:27:24.312787+00:00;Прапор;Сделан прогноз;prediction_set;7b6b0112-c3af-49e2-b05a-f3ce0cf874d6;"{""away"": 3, ""home"": 0, ""match"": ""Haiti — Scotland"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
2026-06-11T21:26:47.765819+00:00;Прапор;Изменён прогноз;prediction_updated;55cc8d6e-b031-464c-9166-ccc388601ad0;"{""away"": 1, ""home"": 1, ""match"": ""South Korea — Czech Republic"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2"", ""previous"": {""away"": 1, ""home"": 2}}"
2026-06-11T21:26:08.324031+00:00;Вадим;Изменён прогноз;prediction_updated;55cc8d6e-b031-464c-9166-ccc388601ad0;"{""away"": 1, ""home"": 2, ""match"": ""South Korea — Czech Republic"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2"", ""previous"": {""away"": 1, ""home"": 1}}"
2026-06-11T21:21:30.797571+00:00;Вениамин;Сделан прогноз;prediction_set;7b5944fe-c8f5-489d-b269-83436d0a6e5a;"{""away"": 1, ""home"": 3, ""match"": ""Brazil — Morocco"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
2026-06-11T21:21:16.237305+00:00;Вениамин;Сделан прогноз;prediction_set;84643f75-2463-4a22-86df-f73d796b529a;"{""away"": 1, ""home"": 0, ""match"": ""Qatar — Switzerland"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
2026-06-11T21:21:08.727932+00:00;Вениамин;Сделан прогноз;prediction_set;d3feaba4-dec6-4658-a1b0-c67242ab07cc;"{""away"": 1, ""home"": 2, ""match"": ""USA — Paraguay"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
2026-06-11T21:12:35.066645+00:00;Прапор;Изменён прогноз;prediction_updated;4912a102-ec52-4ad9-b7f7-a102c09dd410;"{""away"": 0, ""home"": 2, ""match"": ""Canada — Bosnia & Herzegovina"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2"", ""previous"": {""away"": 1, ""home"": 0}}"
2026-06-11T21:12:09.944357+00:00;Прапор;Изменён прогноз;prediction_updated;55cc8d6e-b031-464c-9166-ccc388601ad0;"{""away"": 1, ""home"": 2, ""match"": ""South Korea — Czech Republic"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2"", ""previous"": {""away"": 1, ""home"": 1}}"
2026-06-11T21:09:22.415001+00:00;система;Добавлен счёт;match_result_set;75f8a552-aa21-4033-830e-3c79d6d8a4e0;"{""away"": 0, ""home"": 2, ""match"": ""Mexico — South Africa""}"
2026-06-11T21:09:22.415001+00:00;система;Синхронизация с API;api_sync;;"{""auto"": true, ""created"": 0, ""updated"": 1, ""rescored"": 0}"
2026-06-11T20:40:16.319810+00:00;Игорь Владимирович;Вход в комнату;room_joined;ecbfa22b-bcb2-4d63-a68d-8792b15a1df2;"{""room"": ""ЧМ-2026""}"
2026-06-11T20:34:22.496875+00:00;система;Синхронизация с API;api_sync;;"{""auto"": true, ""created"": 0, ""updated"": 1, ""rescored"": 0}"
2026-06-11T20:15:21.205781+00:00;Valentin;Сделан прогноз;prediction_set;4912a102-ec52-4ad9-b7f7-a102c09dd410;"{""away"": 0, ""home"": 1, ""match"": ""Canada — Bosnia & Herzegovina"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
2026-06-11T20:15:02.134564+00:00;Valentin;Сделан прогноз;prediction_set;55cc8d6e-b031-464c-9166-ccc388601ad0;"{""away"": 2, ""home"": 1, ""match"": ""South Korea — Czech Republic"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
